n_tries,n_choices,guesses,feedback,won
5,"[6512, 389, 84, 21, 1]","['scott', 'sinew', 'smash', 'spray', 'sugar']","{'false_letters': ['e', 'p', 'i', 'o', 'y', 'n', 'w', 'm', 't', 'h', 'c'], 'true_letters': {0: 's', 3: 'a', 1: 'u', 2: 'g', 4: 'r'}, 'misplaced_letters': {2: ['a', 'r'], 3: ['s']}}",1
5,"[6512, 727, 260, 30, 6]","['tutor', 'myrrh', 'prick', 'rebel', 'reeds']","{'false_letters': ['p', 'u', 'i', 'o', 'y', 'm', 'b', 'l', 'k', 't', 'h', 'c'], 'true_letters': {0: 'r', 1: 'e', 2: 'e', 3: 'd', 4: 's'}, 'misplaced_letters': {4: ['r'], 2: ['r'], 3: ['r', 'e'], 1: ['r']}}",1
4,"[6512, 76, 24, 2]","['stung', 'sooth', 'slate', 'smite']","{'false_letters': ['u', 'o', 'n', 'g', 'l', 'a', 'h'], 'true_letters': {0: 's', 3: 't', 4: 'e', 1: 'm', 2: 'i'}, 'misplaced_letters': {1: ['t']}}",1
3,"[6512, 233, 5]","['queer', 'water', 'taper']","{'false_letters': ['w', 'u', 'q'], 'true_letters': {3: 'e', 4: 'r', 1: 'a', 0: 't', 2: 'p'}, 'misplaced_letters': {2: ['e', 't']}}",1
4,"[6512, 440, 3, 1]","['ruler', 'fling', 'slain', 'plain']","{'false_letters': ['e', 'f', 'u', 'g', 's', 'r'], 'true_letters': {1: 'l', 2: 'a', 3: 'i', 4: 'n', 0: 'p'}, 'misplaced_letters': {2: ['l', 'i'], 3: ['n']}}",1
4,"[6512, 76, 14, 1]","['loins', 'stirs', 'maids', 'amiss']","{'false_letters': ['o', 'n', 'd', 'l', 'r', 't'], 'true_letters': {2: 'i', 4: 's', 0: 'a', 1: 'm', 3: 's'}, 'misplaced_letters': {0: ['s', 'm'], 1: ['a']}}",1
3,"[6512, 137, 2]","['bound', 'amuse', 'pause']","{'false_letters': ['o', 'n', 'd', 'b', 'm'], 'true_letters': {2: 'u', 3: 's', 4: 'e', 0: 'p', 1: 'a'}, 'misplaced_letters': {0: ['a']}}",1
4,"[6512, 2486, 35, 4]","['vouch', 'false', 'agree', 'grate']","{'false_letters': ['f', 'u', 'o', 'v', 's', 'l', 'h', 'c'], 'true_letters': {4: 'e', 0: 'g', 1: 'r', 2: 'a', 3: 't'}, 'misplaced_letters': {1: ['a', 'g'], 0: ['a'], 2: ['r'], 3: ['e']}}",1
4,"[6512, 216, 5, 1]","['proud', 'looks', 'shock', 'shook']","{'false_letters': ['p', 'u', 'd', 'l', 'r', 'c'], 'true_letters': {2: 'o', 0: 's', 1: 'h', 4: 'k', 3: 'o'}, 'misplaced_letters': {1: ['o'], 3: ['k'], 4: ['s']}}",1
7,"[6512, 112, 60, 50, 37, 4, 3]","['wears', 'tales', 'bases', 'cakes', 'names', 'james', 'games']","{'false_letters': ['j', 'n', 'w', 'b', 'l', 'r', 'k', 't', 'c'], 'true_letters': {4: 's', 1: 'a', 3: 'e', 2: 'm', 0: 'g'}, 'misplaced_letters': {1: ['e'], 2: ['a', 's']}}",0
4,"[6512, 427, 9, 1]","['annie', 'silly', 'lists', 'lifts']","{'false_letters': ['e', 'a', 'y', 'n'], 'true_letters': {1: 'i', 0: 'l', 3: 't', 4: 's', 2: 'f'}, 'misplaced_letters': {3: ['i', 'l'], 0: ['s'], 2: ['l', 's']}}",1
6,"[6512, 530, 23, 12, 7, 1]","['pines', 'rooms', 'hours', 'forts', 'words', 'works']","{'false_letters': ['p', 'e', 'u', 'f', 'i', 'n', 'm', 'd', 't', 'h'], 'true_letters': {4: 's', 1: 'o', 2: 'r', 0: 'w', 3: 'k'}, 'misplaced_letters': {0: ['r'], 2: ['o'], 3: ['r']}}",1
6,"[6512, 584, 34, 7, 2, 1]","['fools', 'grasp', 'quest', 'jesse', 'sense', 'dense']","{'false_letters': ['f', 'p', 'u', 'j', 'o', 'q', 'g', 'l', 'r', 'a', 't'], 'true_letters': {3: 's', 1: 'e', 4: 'e', 2: 'n', 0: 'd'}, 'misplaced_letters': {4: ['s'], 2: ['e', 's'], 0: ['s']}}",1
5,"[6512, 428, 20, 7, 4]","['drain', 'bible', 'quill', 'twill', 'chill']","{'false_letters': ['e', 'u', 'q', 'n', 'w', 'd', 'b', 'a', 'r', 't'], 'true_letters': {3: 'l', 2: 'i', 4: 'l', 0: 'c', 1: 'h'}, 'misplaced_letters': {3: ['i'], 1: ['i']}}",1
3,"[6512, 94, 12]","['mount', 'stool', 'wrote']","{'false_letters': ['u', 'n', 'm', 's', 'l'], 'true_letters': {2: 'o', 0: 'w', 1: 'r', 3: 't', 4: 'e'}, 'misplaced_letters': {1: ['o', 't'], 4: ['t'], 3: ['o']}}",1
6,"[6512, 544, 29, 5, 4, 3]","['wings', 'close', 'share', 'shape', 'shave', 'shake']","{'false_letters': ['p', 'i', 'o', 'v', 'n', 'w', 'g', 'l', 'r', 'c'], 'true_letters': {4: 'e', 0: 's', 1: 'h', 2: 'a', 3: 'k'}, 'misplaced_letters': {4: ['s'], 3: ['s']}}",1
5,"[6512, 910, 95, 3, 1]","['depth', 'vague', 'maker', 'early', 'earls']","{'false_letters': ['p', 'u', 'y', 'v', 'g', 'd', 'm', 'k', 't', 'h'], 'true_letters': {1: 'a', 0: 'e', 2: 'r', 3: 'l', 4: 's'}, 'misplaced_letters': {1: ['e'], 4: ['e', 'r'], 3: ['e']}}",1
5,"[6512, 385, 34, 10, 3]","['lusty', 'watch', 'tabor', 'taken', 'tamed']","{'false_letters': ['u', 'o', 'y', 'n', 'w', 'b', 's', 'l', 'r', 'k', 'h', 'c'], 'true_letters': {1: 'a', 0: 't', 3: 'e', 2: 'm', 4: 'd'}, 'misplaced_letters': {3: ['t'], 2: ['t']}}",1
4,"[6512, 981, 100, 1]","['crept', 'below', 'evils', 'flies']","{'false_letters': ['p', 'o', 'v', 'w', 'b', 'r', 't', 'c'], 'true_letters': {2: 'i', 4: 's', 0: 'f', 1: 'l', 3: 'e'}, 'misplaced_letters': {2: ['e', 'l'], 1: ['e'], 0: ['e'], 3: ['l']}}",1
3,"[6512, 23, 5]","['adore', 'clods', 'blood']","{'false_letters': ['e', 's', 'a', 'r', 'c'], 'true_letters': {2: 'o', 1: 'l', 0: 'b', 3: 'o', 4: 'd'}, 'misplaced_letters': {1: ['d'], 3: ['d']}}",1
4,"[6512, 237, 10, 2]","['noble', 'eaten', 'feign', 'reign']","{'false_letters': ['f', 'o', 'b', 'a', 'l', 't'], 'true_letters': {4: 'n', 1: 'e', 2: 'i', 3: 'g', 0: 'r'}, 'misplaced_letters': {0: ['n', 'e'], 4: ['e'], 3: ['e']}}",1
3,"[6512, 502, 6]","['enter', 'saved', 'added']","{'false_letters': ['n', 'v', 's', 'r', 't'], 'true_letters': {3: 'e', 4: 'd', 0: 'a', 1: 'd', 2: 'd'}, 'misplaced_letters': {0: ['e'], 1: ['a']}}",1
5,"[6512, 136, 39, 2, 1]","['ideal', 'learn', 'sable', 'apple', 'ample']","{'false_letters': ['i', 'n', 'd', 'b', 's', 'r'], 'true_letters': {3: 'l', 4: 'e', 0: 'a', 2: 'p', 1: 'm'}, 'misplaced_letters': {2: ['e', 'a'], 3: ['a'], 4: ['l'], 0: ['l'], 1: ['e', 'a', 'p']}}",1
3,"[6512, 664, 9]","['spine', 'cover', 'level']","{'false_letters': ['p', 'i', 'o', 'n', 's', 'r', 'c'], 'true_letters': {2: 'v', 3: 'e', 0: 'l', 1: 'e', 4: 'l'}, 'misplaced_letters': {4: ['e']}}",1
3,"[6512, 553, 1]","['trunk', 'slept', 'sleet']","{'false_letters': ['p', 'u', 'n', 'r', 'k'], 'true_letters': {0: 's', 1: 'l', 2: 'e', 4: 't', 3: 'e'}, 'misplaced_letters': {0: ['t']}}",1
4,"[6512, 301, 58, 2]","['tried', 'panes', 'loves', 'shoes']","{'false_letters': ['p', 'i', 'v', 'n', 'd', 'a', 'r', 'l', 't'], 'true_letters': {3: 'e', 4: 's', 0: 's', 1: 'h', 2: 'o'}, 'misplaced_letters': {1: ['o']}}",1
3,"[6512, 15, 8]","['maple', 'named', 'games']","{'false_letters': ['p', 'l', 'd', 'n'], 'true_letters': {1: 'a', 2: 'm', 3: 'e', 0: 'g', 4: 's'}, 'misplaced_letters': {0: ['m'], 4: ['e']}}",1
4,"[6512, 244, 34, 11]","['opera', 'straw', 'crabs', 'grass']","{'false_letters': ['p', 'e', 'o', 'w', 'b', 't', 'c'], 'true_letters': {1: 'r', 2: 'a', 4: 's', 0: 'g', 3: 's'}, 'misplaced_letters': {3: ['r', 'a'], 4: ['a'], 0: ['s'], 2: ['r']}}",1
4,"[6512, 2343, 279, 1]","['hewed', 'flask', 'sorry', 'story']","{'false_letters': ['e', 'f', 'w', 'd', 'l', 'a', 'k', 'h'], 'true_letters': {0: 's', 3: 'r', 4: 'y', 1: 't', 2: 'o'}, 'misplaced_letters': {3: ['s'], 1: ['o'], 2: ['r']}}",1
4,"[6512, 226, 10, 4]","['hatch', 'start', 'grate', 'tramp']","{'false_letters': ['e', 'g', 's', 'h', 'c'], 'true_letters': {2: 'a', 1: 'r', 0: 't', 3: 'm', 4: 'p'}, 'misplaced_letters': {1: ['a', 't'], 2: ['t'], 3: ['r', 't'], 4: ['t']}}",1
4,"[6512, 108, 4, 1]","['hairs', 'avail', 'ideal', 'final']","{'false_letters': ['e', 'v', 'd', 's', 'r', 'h'], 'true_letters': {4: 'l', 3: 'a', 0: 'f', 1: 'i', 2: 'n'}, 'misplaced_letters': {1: ['a'], 2: ['i', 'a'], 0: ['a', 'i'], 3: ['i']}}",1
6,"[6512, 1470, 38, 5, 2, 1]","['manly', 'shock', 'tithe', 'birth', 'width', 'fifth']","{'false_letters': ['e', 'o', 'y', 'n', 'w', 'm', 'b', 's', 'a', 'l', 'r', 'd', 'k', 'c'], 'true_letters': {1: 'i', 3: 't', 4: 'h', 0: 'f', 2: 'f'}, 'misplaced_letters': {1: ['h'], 0: ['t'], 2: ['t'], 3: ['h']}}",1
4,"[6512, 448, 8, 1]","['cyrus', 'swamp', 'whose', 'whoso']","{'false_letters': ['p', 'e', 'u', 'y', 'm', 'a', 'r', 'c'], 'true_letters': {0: 'w', 1: 'h', 2: 'o', 3: 's', 4: 'o'}, 'misplaced_letters': {4: ['s'], 0: ['s'], 1: ['w']}}",1
4,"[6512, 49, 21, 3]","['brest', 'crops', 'drams', 'draws']","{'false_letters': ['e', 'p', 'o', 'm', 'b', 't', 'c'], 'true_letters': {1: 'r', 4: 's', 0: 'd', 2: 'a', 3: 'w'}, 'misplaced_letters': {3: ['s']}}",1
4,"[6512, 10, 3, 2]","['words', 'cards', 'yards', 'bards']","{'false_letters': ['w', 'o', 'y', 'c'], 'true_letters': {2: 'r', 3: 'd', 4: 's', 1: 'a', 0: 'b'}, 'misplaced_letters': {}}",1
3,"[6512, 145, 3]","['kinds', 'tenth', 'honey']","{'false_letters': ['i', 'd', 's', 'k', 't'], 'true_letters': {2: 'n', 0: 'h', 1: 'o', 3: 'e', 4: 'y'}, 'misplaced_letters': {1: ['e'], 4: ['h']}}",1
8,"[6512, 34, 25, 9, 8, 7, 6, 5]","['gulls', 'walls', 'rills', 'hills', 'pills', 'fills', 'mills', 'bills']","{'false_letters': ['p', 'f', 'u', 'g', 'w', 'm', 'a', 'r', 'h'], 'true_letters': {2: 'l', 3: 'l', 4: 's', 1: 'i', 0: 'b'}, 'misplaced_letters': {}}",0
5,"[6512, 330, 158, 70, 4]","['sweet', 'gases', 'modes', 'cries', 'fires']","{'false_letters': ['o', 'w', 'g', 'd', 'm', 'a', 't', 'c'], 'true_letters': {3: 'e', 4: 's', 0: 'f', 1: 'i', 2: 'r'}, 'misplaced_letters': {0: ['s'], 2: ['e', 's', 'i'], 1: ['r']}}",1
5,"[6512, 27, 15, 2, 1]","['parts', 'meats', 'boats', 'goats', 'coats']","{'false_letters': ['p', 'e', 'g', 'm', 'b', 'r'], 'true_letters': {3: 't', 4: 's', 2: 'a', 1: 'o', 0: 'c'}, 'misplaced_letters': {1: ['a']}}",1
3,"[6512, 101, 39]","['teats', 'lusts', 'sorts']","{'false_letters': ['e', 'u', 'a', 'l'], 'true_letters': {3: 't', 4: 's', 0: 's', 1: 'o', 2: 'r'}, 'misplaced_letters': {0: ['t'], 2: ['s']}}",1
3,"[6512, 26, 5]","['vital', 'aimed', 'diana']","{'false_letters': ['e', 'v', 'm', 'l', 't'], 'true_letters': {1: 'i', 0: 'd', 2: 'a', 3: 'n', 4: 'a'}, 'misplaced_letters': {3: ['a'], 0: ['a'], 4: ['d']}}",1
2,"[6512, 14]","['laden', 'madam']","{'false_letters': ['e', 'l', 'n'], 'true_letters': {1: 'a', 2: 'd', 0: 'm', 3: 'a', 4: 'm'}, 'misplaced_letters': {}}",1
4,"[6512, 408, 56, 1]","['jesus', 'began', 'heard', 'reach']","{'false_letters': ['j', 'u', 'n', 'g', 'd', 'b', 's'], 'true_letters': {1: 'e', 2: 'a', 0: 'r', 3: 'c', 4: 'h'}, 'misplaced_letters': {3: ['a', 'r'], 0: ['h']}}",1
5,"[6512, 136, 53, 3, 1]","['count', 'limit', 'great', 'brest', 'wrest']","{'false_letters': ['u', 'i', 'o', 'n', 'g', 'm', 'b', 'l', 'a', 'c'], 'true_letters': {4: 't', 1: 'r', 2: 'e', 3: 's', 0: 'w'}, 'misplaced_letters': {}}",1
3,"[6512, 878, 1]","['hands', 'lover', 'voter']","{'false_letters': ['n', 'd', 's', 'a', 'l', 'h'], 'true_letters': {1: 'o', 3: 'e', 4: 'r', 0: 'v', 2: 't'}, 'misplaced_letters': {2: ['v']}}",1
3,"[6512, 652, 9]","['bread', 'evils', 'pulse']","{'false_letters': ['i', 'v', 'd', 'b', 'a', 'r'], 'true_letters': {0: 'p', 1: 'u', 2: 'l', 3: 's', 4: 'e'}, 'misplaced_letters': {2: ['e'], 0: ['e'], 3: ['l'], 4: ['s']}}",1
4,"[6512, 268, 15, 11]","['trunk', 'issue', 'guess', 'mules']","{'false_letters': ['i', 'n', 'g', 'r', 'k', 't'], 'true_letters': {1: 'u', 4: 's', 0: 'm', 2: 'l', 3: 'e'}, 'misplaced_letters': {2: ['u', 's', 'e'], 1: ['s'], 3: ['u', 's'], 4: ['e']}}",1
4,"[6512, 157, 22, 3]","['waits', 'scalp', 'arose', 'asked']","{'false_letters': ['p', 'i', 'o', 'w', 'l', 'r', 't', 'c'], 'true_letters': {0: 'a', 1: 's', 2: 'k', 3: 'e', 4: 'd'}, 'misplaced_letters': {1: ['a'], 4: ['s', 'e'], 0: ['s'], 2: ['a'], 3: ['s']}}",1
4,"[6512, 247, 22, 4]","['opium', 'means', 'marry', 'mammy']","{'false_letters': ['p', 'e', 'u', 'i', 'o', 'n', 's', 'r'], 'true_letters': {0: 'm', 1: 'a', 4: 'y', 2: 'm', 3: 'm'}, 'misplaced_letters': {4: ['m'], 2: ['a']}}",1
4,"[6512, 2053, 68, 1]","['think', 'poems', 'carol', 'arrow']","{'false_letters': ['p', 'e', 'i', 'n', 'm', 's', 'l', 'k', 't', 'h', 'c'], 'true_letters': {2: 'r', 3: 'o', 0: 'a', 1: 'r', 4: 'w'}, 'misplaced_letters': {1: ['o', 'a']}}",1
4,"[6512, 975, 143, 21]","['flesh', 'widow', 'court', 'bobby']","{'false_letters': ['f', 'e', 'u', 'i', 'w', 'd', 's', 'l', 'r', 't', 'h', 'c'], 'true_letters': {1: 'o', 0: 'b', 2: 'b', 3: 'b', 4: 'y'}, 'misplaced_letters': {3: ['o']}}",1
4,"[6512, 336, 12, 2]","['toned', 'italy', 'salts', 'altar']","{'false_letters': ['e', 'i', 'o', 'y', 'n', 'd', 's'], 'true_letters': {0: 'a', 1: 'l', 2: 't', 3: 'a', 4: 'r'}, 'misplaced_letters': {0: ['t'], 1: ['t', 'a'], 2: ['a', 'l'], 3: ['l', 't']}}",1
6,"[6512, 1344, 79, 18, 2, 1]","['brush', 'ocean', 'poked', 'towed', 'doted', 'voted']","{'false_letters': ['p', 'u', 'n', 'w', 'b', 's', 'a', 'r', 'k', 'h', 'c'], 'true_letters': {1: 'o', 3: 'e', 4: 'd', 2: 't', 0: 'v'}, 'misplaced_letters': {0: ['o', 't', 'd'], 2: ['e']}}",1
3,"[6512, 541, 27]","['built', 'steed', 'stock']","{'false_letters': ['e', 'u', 'i', 'd', 'b', 'l'], 'true_letters': {0: 's', 1: 't', 2: 'o', 3: 'c', 4: 'k'}, 'misplaced_letters': {4: ['t']}}",1
3,"[6512, 54, 1]","['sixth', 'there', 'heart']","{'false_letters': ['i', 's', 'x'], 'true_letters': {3: 'r', 0: 'h', 1: 'e', 2: 'a', 4: 't'}, 'misplaced_letters': {3: ['t'], 4: ['h', 'e'], 0: ['t'], 1: ['h'], 2: ['e']}}",1
3,"[6512, 14, 3]","['silas', 'hiram', 'cigar']","{'false_letters': ['h', 'm', 's', 'l'], 'true_letters': {1: 'i', 3: 'a', 0: 'c', 2: 'g', 4: 'r'}, 'misplaced_letters': {2: ['r']}}",1
3,"[6512, 151, 2]","['apart', 'worth', 'three']","{'false_letters': ['p', 'w', 'o', 'a'], 'true_letters': {2: 'r', 0: 't', 1: 'h', 3: 'e', 4: 'e'}, 'misplaced_letters': {3: ['r', 't'], 4: ['t', 'h']}}",1
4,"[6512, 1901, 20, 1]","['david', 'globe', 'fleet', 'cleft']","{'false_letters': ['i', 'o', 'v', 'g', 'd', 'b', 'a'], 'true_letters': {1: 'l', 2: 'e', 4: 't', 0: 'c', 3: 'f'}, 'misplaced_letters': {4: ['e'], 0: ['f'], 3: ['e']}}",1
3,"[6512, 1932, 1]","['dixon', 'beach', 'mecca']","{'false_letters': ['i', 'o', 'n', 'x', 'd', 'b', 'h'], 'true_letters': {1: 'e', 3: 'c', 0: 'm', 2: 'c', 4: 'a'}, 'misplaced_letters': {2: ['a']}}",1
3,"[6512, 40, 2]","['after', 'raced', 'cares']","{'false_letters': ['f', 't', 'd'], 'true_letters': {3: 'e', 1: 'a', 0: 'c', 2: 'r', 4: 's'}, 'misplaced_letters': {0: ['a', 'r'], 4: ['r'], 2: ['c']}}",1
3,"[6512, 15, 8]","['shewn', 'horns', 'hands']","{'false_letters': ['e', 'w', 'r', 'o'], 'true_letters': {0: 'h', 4: 's', 1: 'a', 2: 'n', 3: 'd'}, 'misplaced_letters': {0: ['s'], 1: ['h'], 4: ['n'], 3: ['n']}}",1
3,"[6512, 231, 1]","['stand', 'skull', 'souls']","{'false_letters': ['n', 'd', 'a', 'k', 't'], 'true_letters': {0: 's', 2: 'u', 3: 'l', 1: 'o', 4: 's'}, 'misplaced_letters': {4: ['l']}}",1
3,"[6512, 19, 5]","['rebel', 'rouge', 'raise']","{'false_letters': ['u', 'o', 'g', 'b', 'l'], 'true_letters': {0: 'r', 4: 'e', 1: 'a', 2: 'i', 3: 's'}, 'misplaced_letters': {1: ['e'], 3: ['e']}}",1
3,"[6512, 122, 4]","['folly', 'labor', 'lemon']","{'false_letters': ['f', 'y', 'b', 'a', 'r'], 'true_letters': {0: 'l', 3: 'o', 1: 'e', 2: 'm', 4: 'n'}, 'misplaced_letters': {1: ['o'], 2: ['l'], 3: ['l']}}",1
4,"[6512, 589, 92, 1]","['green', 'whose', 'exalt', 'felix']","{'false_letters': ['o', 'n', 'g', 'w', 's', 'a', 'r', 't', 'h'], 'true_letters': {0: 'f', 1: 'e', 2: 'l', 3: 'i', 4: 'x'}, 'misplaced_letters': {2: ['e'], 3: ['e', 'l'], 4: ['e'], 0: ['e'], 1: ['x']}}",1
3,"[6512, 444, 14]","['naked', 'mules', 'files']","{'false_letters': ['u', 'n', 'd', 'm', 'a', 'k'], 'true_letters': {3: 'e', 2: 'l', 4: 's', 0: 'f', 1: 'i'}, 'misplaced_letters': {}}",1
3,"[6512, 1235, 26]","['title', 'nancy', 'aaron']","{'false_letters': ['e', 'i', 'y', 'l', 't', 'c'], 'true_letters': {1: 'a', 0: 'a', 2: 'r', 3: 'o', 4: 'n'}, 'misplaced_letters': {0: ['n'], 2: ['n']}}",1
5,"[6512, 55, 4, 3, 2]","['wider', 'minds', 'finds', 'hinds', 'kinds']","{'false_letters': ['e', 'f', 'w', 'm', 'r', 'h'], 'true_letters': {1: 'i', 2: 'n', 3: 'd', 4: 's', 0: 'k'}, 'misplaced_letters': {2: ['d']}}",1
5,"[6512, 110, 44, 13, 7]","['newly', 'pence', 'meant', 'begun', 'seven']","{'false_letters': ['p', 'u', 'y', 'w', 'g', 'm', 'b', 'l', 'a', 't', 'c'], 'true_letters': {1: 'e', 4: 'n', 0: 's', 2: 'v', 3: 'e'}, 'misplaced_letters': {0: ['n'], 2: ['n'], 4: ['e'], 3: ['n']}}",1
3,"[6512, 1398, 5]","['silly', 'crept', 'apron']","{'false_letters': ['e', 'i', 'y', 's', 'l', 't', 'c'], 'true_letters': {0: 'a', 1: 'p', 2: 'r', 3: 'o', 4: 'n'}, 'misplaced_letters': {1: ['r'], 3: ['p']}}",1
4,"[6512, 1587, 21, 3]","['whelm', 'squid', 'basis', 'rosin']","{'false_letters': ['e', 'u', 'q', 'w', 'm', 'd', 'b', 'l', 'a', 'h'], 'true_letters': {3: 'i', 2: 's', 0: 'r', 1: 'o', 4: 'n'}, 'misplaced_letters': {0: ['s'], 4: ['s']}}",1
3,"[6512, 39, 1]","['prone', 'spars', 'april']","{'false_letters': ['e', 'o', 's', 'n'], 'true_letters': {1: 'p', 0: 'a', 2: 'r', 3: 'i', 4: 'l'}, 'misplaced_letters': {0: ['p'], 1: ['r'], 2: ['a'], 3: ['r']}}",1
4,"[6512, 887, 22, 7]","['glide', 'seven', 'sheaf', 'spear']","{'false_letters': ['f', 'i', 'v', 'n', 'g', 'd', 'l', 'h'], 'true_letters': {0: 's', 2: 'e', 3: 'a', 1: 'p', 4: 'r'}, 'misplaced_letters': {4: ['e'], 1: ['e'], 3: ['e']}}",1
3,"[6512, 159, 5]","['trade', 'nests', 'poets']","{'false_letters': ['r', 'a', 'd', 'n'], 'true_letters': {3: 't', 4: 's', 0: 'p', 1: 'o', 2: 'e'}, 'misplaced_letters': {0: ['t'], 4: ['e'], 1: ['e'], 2: ['s']}}",1
4,"[6512, 657, 15, 1]","['stand', 'rooms', 'curse', 'fresh']","{'false_letters': ['u', 'o', 'n', 'd', 'm', 'a', 't', 'c'], 'true_letters': {3: 's', 0: 'f', 1: 'r', 2: 'e', 4: 'h'}, 'misplaced_letters': {0: ['s', 'r'], 4: ['s', 'e'], 2: ['r']}}",1
6,"[6512, 87, 14, 7, 5, 2]","['brawn', 'liken', 'dozen', 'queen', 'hymen', 'seven']","{'false_letters': ['z', 'u', 'q', 'o', 'i', 'y', 'w', 'd', 'b', 'm', 'l', 'r', 'a', 'k', 'h'], 'true_letters': {4: 'n', 3: 'e', 0: 's', 1: 'e', 2: 'v'}, 'misplaced_letters': {2: ['e']}}",1
5,"[6512, 1334, 71, 51, 3]","['lists', 'frame', 'opera', 'gazer', 'cedar']","{'false_letters': ['f', 'p', 'i', 'z', 'o', 'g', 'm', 's', 'l', 't'], 'true_letters': {4: 'r', 0: 'c', 1: 'e', 2: 'd', 3: 'a'}, 'misplaced_letters': {1: ['r', 'a'], 2: ['a', 'e'], 4: ['e', 'a'], 3: ['r', 'e']}}",1
3,"[6512, 110, 7]","['abide', 'actor', 'aloof']","{'false_letters': ['e', 'i', 'd', 'b', 'r', 't', 'c'], 'true_letters': {0: 'a', 3: 'o', 1: 'l', 2: 'o', 4: 'f'}, 'misplaced_letters': {}}",1
3,"[6512, 93, 3]","['plaid', 'saved', 'asked']","{'false_letters': ['p', 'i', 'l', 'v'], 'true_letters': {4: 'd', 3: 'e', 0: 'a', 1: 's', 2: 'k'}, 'misplaced_letters': {2: ['a'], 0: ['s'], 1: ['a']}}",1
5,"[6512, 1382, 63, 31, 4]","['jesus', 'prick', 'dryly', 'armor', 'arrow']","{'false_letters': ['e', 'p', 'u', 'j', 'i', 'y', 'd', 'm', 's', 'l', 'k', 'c'], 'true_letters': {1: 'r', 0: 'a', 3: 'o', 2: 'r', 4: 'w'}, 'misplaced_letters': {4: ['r']}}",1
3,"[6512, 48, 5]","['wings', 'dined', 'linen']","{'false_letters': ['w', 's', 'd', 'g'], 'true_letters': {1: 'i', 2: 'n', 3: 'e', 0: 'l', 4: 'n'}, 'misplaced_letters': {}}",1
5,"[6512, 820, 58, 18, 8]","['scrip', 'lakes', 'moses', 'bones', 'foxes']","{'false_letters': ['p', 'i', 'n', 'm', 'b', 'a', 'r', 'l', 'k', 'c'], 'true_letters': {3: 'e', 4: 's', 1: 'o', 0: 'f', 2: 'x'}, 'misplaced_letters': {0: ['s'], 2: ['s']}}",1
4,"[6512, 167, 12, 1]","['snare', 'stoop', 'soils', 'souls']","{'false_letters': ['e', 'p', 'i', 'n', 'a', 'r', 't'], 'true_letters': {0: 's', 1: 'o', 3: 'l', 4: 's', 2: 'u'}, 'misplaced_letters': {2: ['o'], 3: ['o']}}",1
3,"[6512, 106, 10]","['shock', 'clans', 'facts']","{'false_letters': ['o', 'n', 'l', 'k', 'h'], 'true_letters': {4: 's', 0: 'f', 1: 'a', 2: 'c', 3: 't'}, 'misplaced_letters': {0: ['s', 'c'], 3: ['c'], 2: ['a']}}",1
4,"[6512, 432, 14, 1]","['noble', 'ranks', 'stung', 'snuff']","{'false_letters': ['e', 'o', 'g', 'b', 'l', 'r', 'a', 'k', 't'], 'true_letters': {0: 's', 2: 'u', 1: 'n', 3: 'f', 4: 'f'}, 'misplaced_letters': {0: ['n'], 2: ['n'], 4: ['s'], 3: ['n']}}",1
3,"[6512, 74, 24]","['cells', 'nobly', 'fault']","{'false_letters': ['e', 'o', 'y', 'n', 'b', 's', 'c'], 'true_letters': {3: 'l', 0: 'f', 1: 'a', 2: 'u', 4: 't'}, 'misplaced_letters': {2: ['l']}}",1
4,"[6512, 190, 44, 1]","['sight', 'verge', 'flung', 'young']","{'false_letters': ['e', 'f', 'i', 'v', 's', 'l', 'r', 't', 'h'], 'true_letters': {2: 'u', 3: 'n', 4: 'g', 0: 'y', 1: 'o'}, 'misplaced_letters': {2: ['g'], 3: ['g']}}",1
4,"[6512, 395, 35, 14]","['reign', 'freed', 'sperm', 'alert']","{'false_letters': ['f', 'p', 'i', 'n', 'g', 'd', 'm', 's'], 'true_letters': {2: 'e', 3: 'r', 0: 'a', 1: 'l', 4: 't'}, 'misplaced_letters': {0: ['r'], 1: ['e', 'r'], 3: ['e']}}",1
5,"[6512, 1638, 38, 17, 1]","['fools', 'eager', 'three', 'creep', 'breed']","{'false_letters': ['f', 'p', 'o', 'g', 's', 'a', 'l', 't', 'h', 'c'], 'true_letters': {3: 'e', 1: 'r', 2: 'e', 0: 'b', 4: 'd'}, 'misplaced_letters': {0: ['e'], 4: ['r', 'e'], 2: ['r']}}",1
6,"[6512, 248, 46, 34, 22, 11]","['twice', 'pikes', 'gives', 'sides', 'fires', 'lines']","{'false_letters': ['p', 'f', 'v', 'w', 'g', 'd', 'r', 'k', 't', 'c'], 'true_letters': {1: 'i', 3: 'e', 4: 's', 0: 'l', 2: 'n'}, 'misplaced_letters': {2: ['i'], 4: ['e'], 0: ['s']}}",1
4,"[6512, 696, 43, 1]","['snaky', 'maple', 'treat', 'great']","{'false_letters': ['p', 'y', 'n', 'm', 's', 'l', 'k'], 'true_letters': {1: 'r', 2: 'e', 3: 'a', 4: 't', 0: 'g'}, 'misplaced_letters': {2: ['a'], 1: ['a'], 4: ['e'], 0: ['t']}}",1
